ID,Name,Specification
,CR_requirement_0,"The system shall respond to applied pedal torque with resistance calculated from the base level of resistance, current gearing and applied torque to simulate pedal resistance during road riding. 
"
,CRD_01,"The Rider Application subsystem shall accept the Rider Weight from the Configuration app. "
,CRD_02,"The Rider Application shall use Ride Weight in computation of commanded pedal Resistance"
,CRD_03,"The Data Management Subsystem shall store Rider Configuration data including age, sex, weight, and height. "
,CRD_04,"The Pedal Assembly subsystem shall provide pedal cadence to the Rider Application subsystem. "
,CRD_05,"The Pedal Assembly subsystem shall provide rider power at the point of the pedal at least every 100 ms to the Rider Application Subsystem"
,CRD_06,"The Rider Application subsystem shall accept time-filter settings from the Trainer App from the set of 0 (instantaneous power), 1-second, 3-second, and 5-second)."
,CRD_07,"The Rider Application subsystem shall compute time-filtered power at least every 300 ms"
,CRD_08,"The Rider Application subsystem shall send the time-filtered power to the Training App via the Comms subsystem at least every 300ms."
,CRD_09,"The Comms subssytem shall transmit ride data to the Training App at the direction of the Rider Application subsystem within 20ms of recept of the message."
,CRD_10,"The Rider Application Subsystem shall send simulated road speed to the Training App via the Comms subsystem at least every 1000 ms."
,CRD_11,"The Rider Application Subsystem shall verify the validaity of the gearing configuration received via the Comms subsystem from the Configuraiton App. "
,CRD_12,"The Data Management subsystem shall be able to store gearing configuration"
,CRD_13,"The System Configuration shall store the gearing configuration via the Data Management System"
,CRD_14,"The Rider Application susbsytem shall compute resistance commanded to the Motor Assembly subsystem. "
,CRD_15,"The Rider Applicatiion system shall store current gear"
,CRD_16,"The Data Management subsystem shall store all its data persistently so that it is retained acoss power resets. "
,CRD_17,"The Comms subsystem shall accept messages from the Trainer App"
,CRD_18,"The Comms subsystem shall accept messages from the Configuration App. "
,CRD_19,"The Comms subsystem shall accept set Incline from the Training App and send it to the Rider Application subsystem. "
,CRD_20,"The Rider Application subssytem shall cpmpute rioad speed "
,CRD_21,"The Incline Control subsystem will send commanded Incline. "
,CRD_22,"The Rider Interaction substance shall be able to set inlcude from -20 to +20 % grade in 1 % grade increments. "
,CRD_23,"The Incline Control subsystem will set the system inclination as commanded within the range of -20 to +20 % incline with a precision of +/- 1% incline. "
,CRD_24,"The Motor Assembly shall create resistance under command of the Rider Appklication subsystem in the ranfge ogf 0 to 2000W. "
,CRD_25,"The Rider Application shall cmpute simulated acceleration"
,CRD_26,"The Drive Train shall transmit power from the motor to the pedal assembly"
,CRD_27,"The Motor Assembly susystem shall change to commanded power output in < 100ms"
,CRD_28,"The Rider Application susbystem shall compute and command the motor to set power output at least every 100ms during a ride"
,CRD_30,"The Mechanical Frame shall be able to accept 2000W of rider power for an extended period without Rider noticable frame deformation"
,CRD_31,"The Rider shall be able to select from the available front gearing. "
,CRD_32,"The Rider shall be able to select from the available rear gearing. "
,DID01,"The Rider Interaction subsystem shall provide an UP and DOWN button  for shifting. "
,DID02,"The Main Computing Platform subsystem shall respond to an upshift by going to the next highest gear ratio permitted with the current gear configuration."
,DID03,"The Main Computing Platform subsystem shall respond to a downshift upshift by going to the next lowest gear ratio permitted with the current gear configuration."
,DID04,"The Main Computing Platform shall manage DI shifting, when enabled. "
,DID05,"The Main Computing Platform shall enter DI shifting mode when commanded by a message received via the Comm Subsystem from the Configuration App. "
,DID06,"The Comm subsystem shall receive shifting messages from the Configuration App and pass their data onto the Main Computng Platform for processing. "
,DID07,"The Main Computing platform shall enter Mechanical Shifting Mode when commanded by a message received via the Comm siubsystem from the Configuration App. "
,DID08,"The Rider Interaction subsystem shall provide both mechanical shifters and DI buttons for shifting which provide identical inputs to the Main Computing Platform. "
,DID09,"The Rider Interaction subsystem shall only have either the mechanical shifters or the DI buttons active a a time, as commanded by the Main Computing Platform. "
,DID10,"The Main Computing Platform shall store the shifting selection  across software and power resets and software updates. "
,DID11,"The Main Computing Platform shall initialize the Rider Interaction subsystem with shifting mode during startup. "
,DID12,"The Comms subsystem shall recieve and delegate to the Main Computing Platform, messages from the Cionfiguraiton App for gearing model selection. "
,DIQoSReq01,"In DI Mode, shifts shall be executed in less than 400 ms or 1/4 pedal stroke, whichever is longer in time. "
,DIQosReq02,"The DI shifting button shall perform reliably for at least 100,000 presses. "
,DIQoSReq03,"In DI Shifting mode, gear shifts may be taken regardless of current power load being applied to the gears, from 0W to the maximum load allowed. "
,DIReg01,"In DI Shifting mode, if the UP button is pressed and the system is already in the highest possible gear, then the system shall audibly beep and keep the current gearing. "
,DIReg02,"The system shall provide shifting with a DI Shifting mode that enables the DI shifting buttons and disables the shifting levers. "
,DIReg03,"In DI Shifting mode, the UP button shall shift into the next highest possible gearing from the selected gear set, as measured in gear inches. 
"
,DIReg04,"In DI Shifting mode, the UP button shall shift into the next highest possible gearing from the selected gear set, as measured in gear inches. 
"
,DIReg05,"In DI Shifting mode, if the DOWN  button is pressed and the system is already in the lowest possible gear, then the system shall audibly beep and keep the current gearing. "
,DIReg06,"In DI Shifting mode, when an upshift requires changing the chain ring, the system shall progress to the next largest gearing, as measured by gear inches. "
,DIReg07,"In DI Shifting mode, when a downshift requires changing the chain ring, the system shall progress to the next smallest gearing, as measured by gear inches. "
,DIReq10,"The system shall enter DI Shifting Mode by selecting that option in the Configuration App. "
,DIReq11,"Once DI Shifting mode is selected, this selection shall persist across resets, power resets, and software updates. "
,DIReq12,"Mechanical shifting shall be the default on initial start up or after a factory-settings reset. "
,DIReq13,"The system shall leave DI Shifting mode when the user selects the Mechanical Shifting option in the Configuration App. "
,efarg01,"The system shall notify the rider of the current number of chain rings and cassette rings on start up. "
,efarg02,"The system shall accept a rider command to enter a mode to configure the gearing."
,efarg03,"The system shall accept a rider command to set up from 1 to 3 front chain rings, inclusive."
,efarg04,"The default number of chain rings shall be 2. "
,efarg05,"The rider shall be able to decrement the cassette ring from a higher (smaller number of teeth) to the next lower (larger number of teeth) gear until the largest cassette ring is reached. "
,efarg06,"The system shall accept a rider command to set up from 10-12 cassette rings, inclusive."
,efarg07,"The default number of cassette rings shall be 12."
,efarg08,"The system shall accept a rider command to set any chain ring to have from 20 to 70 teeth. "
,efarg09,"The system shall accept a rider command to set up any cassette ring to have from 10 to 50. "
,efarg10,"The default number of teeth for 1 chain ring shall be 48."
,efarg11,"The default number of teeth for 2 chain rings shall be 34 and 53."
,efarg12,"The system shall inform the rider of the new gearing when the gear is changed. "
,efarg13,"The default number of teeth for 3 chain rings shall be 28, 40, and 56."
,efarg14,"The system shall inform the training app of the new gearing when the gear is changed. "
,efarg15,"The default number of teeth for 10 cassette rings shall be 11, 12, 14, 16, 18, 20, 22, 25, 28, and 32."
,efarg16,"The default number of teeth for 11 cassette rings shall be 11, 12, 13, 14, 15, 16, 17, 19, 21, 23, and 25."
,efarg17,"The default number of teeth for 12 cassette rings shall be 11, 13, 15, 17, 19, 21, 24, 28, 32, 36, 42, and 50."
,efarg18,"The rider shall be able to command the system to leave configuration mode. "
,efarg19,"The default starting gear shall be chain ring 1 and cassette ring 1 when starting a ride. "
,efarg20,"The rider shall be able to augment the front chain ring from a lower to the next higher gear until the largest chain ring is reached."
,efarg21,"The rider shall be able to decrement the front chain ring from a higher to the next lower gear until the smallest chain ring is reached. "
,efarg22,"The rider shall be able to augment the cassette ring from a lower (larger number of teehth) to the next higher (smaller number of teeth) gear until the smallest cassette ring is reached. "
,efarg23,"The system shall send the current gearing to the training app when the current gearing changes changes. 
"
,efarg24,"The system shall respond to a rider-initiated increase in gear by applying the new level of gearing provided that it does not exceed the maximum gearing of the gearing configuration. 
"
,efarg25,"The system shall respond to a ride-initiated decrease in gear by applying the new level of gearing provided that it does not exceed the minimum gearing of the gearing configuration. 
"
,efarg26,"The system shall display the current selected gear.  "
,efarg27,"The system shall default to the minimum gear during initialization."
,EFD01,"The Main Computing Platform shall notify the Rider Interaction subsystem of the current simulated front and gear gear selection. "
,EFD02,"The Comm system shall receive commands to set up gearing from the Configuration App and delegate to the Main Computing Platform. "
,EFD03,"The Main Computing Platform shall process and store front and rear gearing configuration recevied via the Comm subsystem from the Configuration App. "
,EFD04,"The Rider Interaction Subsysten shall display the currently selected front and rear gear, as commanded by the Main Computing Platform. "
,EFD05,"The Rider shall be able to shift to the next highest or next lowest gear. "
,EFD06,"The Main Computing Platform shall allow up or down shifting until either the highest or lowest gear is reached. "
,PowerReq01,"The Electrical Power Delivery subsystem shall accept input power from 100 - 240V at 50-60Hz with a maximum current draw of 2.5 Amps."
,PowerReq02,"The Electrical Power Delivery subsystem shall supply digital current to power computing devices. "
,PowerReq03,"The Rider Interaction subsystem shall provide a switch to power on and power off the system. "
,PowerReq04,"Upon receiving a power off messages from the Rider Interaction subsystem, tThe Main Computing Platform shall store system and rider configuration and then send a message to the Electrical Power Delivery subsystem to remove power.  "
,PowerReq05,"The Electrical Power Delivery subsystem shall supply adequate power to create rider resistance to the Power Train subsystem. "
,PowerReq06,"The Electrical Power Delivery subsystem shall provide adequate power for chaning the system inclination to the Mechanical Frame subsystem."
AcceptInclineReq,CR_requirement_11,"The system shall accept road incline from the connected training app. "
AcceptInclnieReq,CR_requirement_9,"The system shall accept simulated incline from the connected training app throughout a training session. "
ApplyResistanceReq,CR_requirement_14,"The system shall compute and apply resistance to pedal movement based on simulated inertia, speed, acceleration and rider power input."
ComputeDragReq,CR_requirement_12,"The system shall compute simulated drag based on computed rider inertia and simulated road incline. "
ComputeSpeedReq,CR_requirement_13,"The system shall compute simulated road speed based on computed inertia, includen, current simulated speed and acceleration, and rider-applied force to the pedal. "
FilterPowerReq,CR_requirement_7,"The system shall provide time-filtering of power, supporting 0, 1-second, 3-second, and 5-second power averaging, settable by the rider. "
GearStorageReq,CR_requirement_2,"The system shall store the current gear persistently so that the last gear is retained across power cycles and resets. "
MeasureForceReq,CR_requirement_6,"The system shall measure force applied by the rider to the pedals. "
MonitorPedalSpeedReq,CR_requirement_3,"The system shall monitor pedal position and speed. "
PedalCadenceReq,CR_requirement_4,"The system shall compute pedal cadence. "
Physics_model_update,CR_requirement_24,"The system shall update the physics model frequently enough to provide the rider a smooth and road-line experience with respect to resistance.
"
SendCadenceReq,CR_requirement_5,"The system shall send pedal cadence to the associated training app, when connected. "
SendPowerReq,CR_requirement_8,"The system shall send filtered power to the training app, if connected. "
SendSpeedReq,CR_requirement_15,"The system shall send computed speed and acceleration to the connected training app, if any. "
StoreGearRealtimeReq,CR_requirement_10,"The system shall store gear ratio from the gear setting. "
Training_App_Cadence_Update,CR_requirement_23,"The system shall update the training app with pedal cadence at least 1.0 seconds."
Training_App_power_update,CR_requirement_22,"The system shall update the training app with rider filtered power output at least 0.5 seconds"
Training_App_Speed_Update,CR_requirement_21,"The system shall update the training app with simulated bike speed at least 1.0 seconds"
Watts_Per_Kg_Update,CR_requirement_25,"The system shall send current watts per kilogram to the training app for the current power output at least every 1.0 seconds."
WeigfhtReq,CR_requirement_1,"The system shall store the rider weight for the computation of pedal resistance. "
